"No.","Time","Source","Destination","Protocol","Length","Info"
"68","1.035070","2620:149:a41:132::2:3","2601:19b:681:6a0:443d:6eeb:d343:8f85","TCP","98","[TCP Dup ACK 67#1] 443  >  58081 [ACK] Seq=6653 Ack=3106 Win=32256 Len=0 TSval=1664575807 TSecr=1158631487 SLE=3075 SRE=3106"
"69","1.097596","2620:149:a41:132::2:3","2601:19b:681:6a0:443d:6eeb:d343:8f85","TLSv1.3","1065","Application Data"
"70","1.097899","2601:19b:681:6a0:443d:6eeb:d343:8f85","2620:149:a41:132::2:3","TCP","86","58081  >  443 [ACK] Seq=3106 Ack=7632 Win=130048 Len=0 TSval=1158631581 TSecr=1664575878"
"71","1.099563","2620:149:a41:132::2:3","2601:19b:681:6a0:443d:6eeb:d343:8f85","TLSv1.3","117","Application Data"
"72","1.099736","2601:19b:681:6a0:443d:6eeb:d343:8f85","2620:149:a41:132::2:3","TCP","86","58081  >  443 [ACK] Seq=3106 Ack=7663 Win=131008 Len=0 TSval=1158631583 TSecr=1664575878"
"73","1.115207","2601:19b:681:6a0:443d:6eeb:d343:8f85","2620:149:a41:132::2:3","TLSv1.3","219","Application Data"
"74","1.115475","2601:19b:681:6a0:443d:6eeb:d343:8f85","2620:149:a41:132::2:3","TLSv1.3","818","Application Data"
"75","1.115595","2601:19b:681:6a0:443d:6eeb:d343:8f85","2620:149:a41:132::2:3","TLSv1.3","117","Application Data"
"76","1.133500","2620:149:a41:132::2:3","2601:19b:681:6a0:443d:6eeb:d343:8f85","TCP","86","443  >  58081 [ACK] Seq=7663 Ack=3239 Win=32256 Len=0 TSval=1664575918 TSecr=1158631598"
"77","1.137302","2620:149:a41:132::2:3","2601:19b:681:6a0:443d:6eeb:d343:8f85","TCP","86","443  >  58081 [ACK] Seq=7663 Ack=3971 Win=32256 Len=0 TSval=1664575918 TSecr=1158631598"
"78","1.137303","2620:149:a41:132::2:3","2601:19b:681:6a0:443d:6eeb:d343:8f85","TCP","86","443  >  58081 [ACK] Seq=7663 Ack=4002 Win=32256 Len=0 TSval=1664575918 TSecr=1158631598"
"79","1.227082","2620:149:a41:132::2:3","2601:19b:681:6a0:443d:6eeb:d343:8f85","TCP","1514","443  >  58081 [ACK] Seq=7663 Ack=4002 Win=32256 Len=1428 TSval=1664576011 TSecr=1158631598 [TCP PDU reassembled in 80]"
"80","1.227084","2620:149:a41:132::2:3","2601:19b:681:6a0:443d:6eeb:d343:8f85","TLSv1.3","179","Application Data"
"81","1.227960","2601:19b:681:6a0:443d:6eeb:d343:8f85","2620:149:a41:132::2:3","TCP","86","58081  >  443 [ACK] Seq=4002 Ack=9184 Win=129536 Len=0 TSval=1158631711 TSecr=1664576011"
"82","1.757236","10.0.0.162","224.0.0.251","MDNS","100","Standard query 0x0000 PTR _rdlink._tcp.local, ""QU"" question PTR _companion-link._tcp.local, ""QU"" question"
"83","1.757468","fe80::1ce5:8f1:21fb:e65e","ff02::fb","MDNS","120","Standard query 0x0000 PTR _rdlink._tcp.local, ""QU"" question PTR _companion-link._tcp.local, ""QU"" question"
"84","1.890379","Apple_54:3b:69","fa:ab:16:1c:c8:5d","ARP","42","Who has 10.0.0.162? Tell 10.0.0.147"
"85","1.890382","10.0.0.147","10.0.0.162","MDNS","448","Standard query response 0x0000 PTR Mimanshaâ\200\231s MacBook Air._companion-link._tcp.local SRV, cache flush 0 0 50252 Mimanshas-MacBook-Air.local TXT, cache flush TXT AAAA, cache flush fe80::141f:f390:c528:a46c A, cache flush 10.0.0.147 AAAA, cache flush 2601:19b:681:6a0:1ca7:1eb9:7918:5256 AAAA, cache flush 2601:19b:681:6a0::c1be"
"86","1.898349","fa:ab:16:1c:c8:5d","Apple_54:3b:69","ARP","42","10.0.0.162 is at fa:ab:16:1c:c8:5d"
"87","2.170503","fe80::a2ff:70ff:fe23:f9a4","ff02::1","ICMPv6","174","Router Advertisement from a0:ff:70:23:f9:a4"
"88","2.781862","10.0.0.162","224.0.0.251","MDNS","139","Standard query 0x0000 PTR _rdlink._tcp.local, ""QM"" question PTR _companion-link._tcp.local, ""QM"" question PTR Mimanshaâ\200\231s MacBook Air._companion-link._tcp.local"
"89","2.781922","fe80::1ce5:8f1:21fb:e65e","ff02::fb","MDNS","159","Standard query 0x0000 PTR _rdlink._tcp.local, ""QM"" question PTR _companion-link._tcp.local, ""QM"" question PTR Mimanshaâ\200\231s MacBook Air._companion-link._tcp.local"
"90","3.607935","2a03:2880:f272:cc:face:b00c:0:43fe","2601:19b:681:6a0:443d:6eeb:d343:8f85","TLSv1.2","374","Application Data"
"91","3.608956","2601:19b:681:6a0:443d:6eeb:d343:8f85","2a03:2880:f272:cc:face:b00c:0:43fe","TCP","86","58063  >  443 [ACK] Seq=1 Ack=289 Win=2043 Len=0 TSval=1276806276 TSecr=702142010"
"92","3.615950","2601:19b:681:6a0:443d:6eeb:d343:8f85","2a03:2880:f272:cc:face:b00c:0:43fe","TLSv1.2","118","Application Data"
"93","3.624025","2a03:2880:f272:cc:face:b00c:0:43fe","2601:19b:681:6a0:443d:6eeb:d343:8f85","TCP","86","443  >  58063 [ACK] Seq=289 Ack=33 Win=632 Len=0 TSval=702142180 TSecr=1276806284"
"94","4.129058","2601:19b:681:6a0:443d:6eeb:d343:8f85","2a03:2880:f272:cc:face:b00c:0:43fe","TLSv1.2","116","Application Data"
"95","4.142334","2a03:2880:f272:cc:face:b00c:0:43fe","2601:19b:681:6a0:443d:6eeb:d343:8f85","TCP","86","443  >  58063 [ACK] Seq=289 Ack=63 Win=632 Len=0 TSval=702142697 TSecr=1276806797"
"96","4.220350","2601:19b:681:6a0:443d:6eeb:d343:8f85","2001:558:feed::1","DNS","113","Standard query 0xc85d HTTPS prod.roaming1.live.com.akadns.net"
"97","4.220602","2601:19b:681:6a0:443d:6eeb:d343:8f85","2001:558:feed::1","DNS","113","Standard query 0xb853 AAAA prod.roaming1.live.com.akadns.net"
"98","4.220850","2601:19b:681:6a0:443d:6eeb:d343:8f85","2001:558:feed::1","DNS","113","Standard query 0x7d97 A prod.roaming1.live.com.akadns.net"
"99","4.243568","2001:558:feed::1","2601:19b:681:6a0:443d:6eeb:d343:8f85","DNS","278","Standard query response 0xb853 AAAA prod.roaming1.live.com.akadns.net CNAME us1.roaming1.live.com.akadns.net CNAME eus2-azsc-000.roaming.officeapps.live.com CNAME osiprod-eus2-buff-azsc-000.eastus2.cloudapp.azure.com AAAA 2603:1036:2405::5"
"100","4.245481","2001:558:feed::1","2601:19b:681:6a0:443d:6eeb:d343:8f85","DNS","327","Standard query response 0xc85d HTTPS prod.roaming1.live.com.akadns.net CNAME us1.roaming1.live.com.akadns.net CNAME ncus-azsc-000.roaming.officeapps.live.com CNAME osiprod-ncus-buff-azsc-000.northcentralus.cloudapp.azure.com SOA ns1-02.azure-dns.com"
"101","4.245483","2001:558:feed::1","2601:19b:681:6a0:443d:6eeb:d343:8f85","DNS","266","Standard query response 0x7d97 A prod.roaming1.live.com.akadns.net CNAME us1.roaming1.live.com.akadns.net CNAME eus2-azsc-000.roaming.officeapps.live.com CNAME osiprod-eus2-buff-azsc-000.eastus2.cloudapp.azure.com A 52.109.6.63"
"102","4.245851","2601:19b:681:6a0:443d:6eeb:d343:8f85","2001:558:feed::1","DNS","133","Standard query 0xdaea HTTPS osiprod-eus2-buff-azsc-000.eastus2.cloudapp.azure.com"
"103","4.248300","2a03:2880:f272:cc:face:b00c:0:43fe","2601:19b:681:6a0:443d:6eeb:d343:8f85","TLSv1.2","114","Application Data"
"104","4.249039","2601:19b:681:6a0:443d:6eeb:d343:8f85","2a03:2880:f272:cc:face:b00c:0:43fe","TCP","86","58063  >  443 [ACK] Seq=63 Ack=317 Win=2047 Len=0 TSval=1276806916 TSecr=702142804"
"105","4.266338","2001:558:feed::1","2601:19b:681:6a0:443d:6eeb:d343:8f85","DNS","203","Standard query response 0xdaea HTTPS osiprod-eus2-buff-azsc-000.eastus2.cloudapp.azure.com SOA ns1-06.azure-dns.com"
"106","4.268131","2601:19b:681:6a0:443d:6eeb:d343:8f85","2603:1036:2405::5","TCP","98","58082  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1440 WS=64 TSval=541540536 TSecr=0 SACK_PERM"
"107","4.304186","2603:1036:2405::5","2601:19b:681:6a0:443d:6eeb:d343:8f85","TCP","94","443  >  58082 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1400 WS=256 SACK_PERM TSval=2403985679 TSecr=541540536"
"108","4.304526","2601:19b:681:6a0:443d:6eeb:d343:8f85","2603:1036:2405::5","TCP","86","58082  >  443 [ACK] Seq=1 Ack=1 Win=131840 Len=0 TSval=541540572 TSecr=2403985679"
"109","4.304528","2601:19b:681:6a0:443d:6eeb:d343:8f85","2603:1036:2405::5","TLSv1.2","603","Client Hello (SNI=roaming.officeapps.live.com)"
"110","4.347684","2603:1036:2405::5","2601:19b:681:6a0:443d:6eeb:d343:8f85","TCP","1514","443  >  58082 [ACK] Seq=1 Ack=518 Win=4194816 Len=1428 TSval=2403985723 TSecr=541540572 [TCP PDU reassembled in 116]"
"111","4.347993","2601:19b:681:6a0:443d:6eeb:d343:8f85","2603:1036:2405::5","TCP","86","58082  >  443 [ACK] Seq=518 Ack=1429 Win=130432 Len=0 TSval=541540616 TSecr=2403985723"
"112","4.348549","2603:1036:2405::5","2601:19b:681:6a0:443d:6eeb:d343:8f85","TCP","1514","443  >  58082 [ACK] Seq=1429 Ack=518 Win=4194816 Len=1428 TSval=2403985723 TSecr=541540572 [TCP PDU reassembled in 116]"
"113","4.348692","2601:19b:681:6a0:443d:6eeb:d343:8f85","2603:1036:2405::5","TCP","86","58082  >  443 [ACK] Seq=518 Ack=2857 Win=129600 Len=0 TSval=541540616 TSecr=2403985723"
"114","4.349638","2603:1036:2405::5","2601:19b:681:6a0:443d:6eeb:d343:8f85","TCP","1514","443  >  58082 [ACK] Seq=2857 Ack=518 Win=4194816 Len=1428 TSval=2403985723 TSecr=541540572 [TCP PDU reassembled in 116]"
"115","4.349640","2603:1036:2405::5","2601:19b:681:6a0:443d:6eeb:d343:8f85","TCP","1514","443  >  58082 [ACK] Seq=4285 Ack=518 Win=4194816 Len=1428 TSval=2403985723 TSecr=541540572 [TCP PDU reassembled in 116]"
"116","4.349641","2603:1036:2405::5","2601:19b:681:6a0:443d:6eeb:d343:8f85","TLSv1.2","593","Server Hello, Certificate, Certificate Status, Server Key Exchange, Server Hello Done"
"117","4.350308","2601:19b:681:6a0:443d:6eeb:d343:8f85","2603:1036:2405::5","TCP","86","58082  >  443 [ACK] Seq=518 Ack=6220 Win=131072 Len=0 TSval=541540618 TSecr=2403985723"
"118","4.357296","2601:19b:681:6a0:443d:6eeb:d343:8f85","2603:1036:2405::5","TLSv1.2","244","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"119","4.391759","2603:1036:2405::5","2601:19b:681:6a0:443d:6eeb:d343:8f85","TLSv1.2","137","Change Cipher Spec, Encrypted Handshake Message"
"120","4.392391","2601:19b:681:6a0:443d:6eeb:d343:8f85","2603:1036:2405::5","TCP","86","58082  >  443 [ACK] Seq=676 Ack=6271 Win=131008 Len=0 TSval=541540660 TSecr=2403985758"
"121","4.392889","2601:19b:681:6a0:443d:6eeb:d343:8f85","2603:1036:2405::5","TLSv1.2","384","Application Data"
"122","4.393344","2601:19b:681:6a0:443d:6eeb:d343:8f85","2603:1036:2405::5","TCP","1474","58082  >  443 [ACK] Seq=974 Ack=6271 Win=131072 Len=1388 TSval=541540661 TSecr=2403985758 [TCP PDU reassembled in 131]"
"123","4.393346","2601:19b:681:6a0:443d:6eeb:d343:8f85","2603:1036:2405::5","TCP","1474","58082  >  443 [ACK] Seq=2362 Ack=6271 Win=131072 Len=1388 TSval=541540661 TSecr=2403985758 [TCP PDU reassembled in 131]"
"124","4.393347","2601:19b:681:6a0:443d:6eeb:d343:8f85","2603:1036:2405::5","TCP","1474","58082  >  443 [ACK] Seq=3750 Ack=6271 Win=131072 Len=1388 TSval=541540661 TSecr=2403985758 [TCP PDU reassembled in 131]"
"125","4.393349","2601:19b:681:6a0:443d:6eeb:d343:8f85","2603:1036:2405::5","TCP","1474","58082  >  443 [ACK] Seq=5138 Ack=6271 Win=131072 Len=1388 TSval=541540661 TSecr=2403985758 [TCP PDU reassembled in 131]"
"126","4.393350","2601:19b:681:6a0:443d:6eeb:d343:8f85","2603:1036:2405::5","TCP","1474","58082  >  443 [ACK] Seq=6526 Ack=6271 Win=131072 Len=1388 TSval=541540661 TSecr=2403985758 [TCP PDU reassembled in 131]"
"127","4.393351","2601:19b:681:6a0:443d:6eeb:d343:8f85","2603:1036:2405::5","TCP","1474","58082  >  443 [ACK] Seq=7914 Ack=6271 Win=131072 Len=1388 TSval=541540661 TSecr=2403985758 [TCP PDU reassembled in 131]"
"128","4.393351","2601:19b:681:6a0:443d:6eeb:d343:8f85","2603:1036:2405::5","TCP","1474","58082  >  443 [ACK] Seq=9302 Ack=6271 Win=131072 Len=1388 TSval=541540661 TSecr=2403985758 [TCP PDU reassembled in 131]"
"129","4.393352","2601:19b:681:6a0:443d:6eeb:d343:8f85","2603:1036:2405::5","TCP","1474","58082  >  443 [ACK] Seq=10690 Ack=6271 Win=131072 Len=1388 TSval=541540661 TSecr=2403985758 [TCP PDU reassembled in 131]"
"130","4.393353","2601:19b:681:6a0:443d:6eeb:d343:8f85","2603:1036:2405::5","TCP","1474","58082  >  443 [ACK] Seq=12078 Ack=6271 Win=131072 Len=1388 TSval=541540661 TSecr=2403985758 [TCP PDU reassembled in 131]"
"131","4.393367","2601:19b:681:6a0:443d:6eeb:d343:8f85","2603:1036:2405::5","TLSv1.2","1388","Application Data"
"132","4.396273","2603:1036:2405::5","2601:19b:681:6a0:443d:6eeb:d343:8f85","TLSv1.2","155","Application Data"
"133","4.396367","2601:19b:681:6a0:443d:6eeb:d343:8f85","2603:1036:2405::5","TCP","86","58082  >  443 [ACK] Seq=14768 Ack=6340 Win=130944 Len=0 TSval=541540664 TSecr=2403985769"
"134","4.396392","2601:19b:681:6a0:443d:6eeb:d343:8f85","2603:1036:2405::5","TLSv1.2","124","Application Data"
"135","4.426998","2603:1036:2405::5","2601:19b:681:6a0:443d:6eeb:d343:8f85","TLSv1.2","124","Application Data"
